CBA
RNY
GAP
EPX
GCS
FST
GRY
SSM
SIT
SOM
SMM
ELM
RES
ALR
TIS
BYI
EBT
AJM
CYA
RWD
IPD
QHL
ARA
BOL
AZV
PNC
SND
HCH
LCM
CLV
MVP
NNW
KOV
RED
NTU
GRB
VXL
PRL
AQF
YOW
EPD
CAA
TGZ
CKA
LGD
NFE
CNI
COF
CSS
CZA
APD
PTL
NOE
BUL
MIX
ZER
KGL
CIA
GGG
DYE
TZN
THX
JPR
IPE
WEC
MRC
GXY
CZZ
CII
EAL
WIG
LTN
OSP
SSN
ISN
BYL
TSM
NWF
PDZ
TZL
BKY
UNX
AKY
SWK
CAF
JIN
CAS
SHU
PVD
TYO
HHL
CXU
ROL
PSY
PPK
SBM
RVA
OCP
FPS
APW
FUN
VMT
AQO
HAZ
TUP
MAT
FMS
EGO
CZD
CKL
PXG
SUD
NKP
VLA
MYA
PNL
AGS
BRL
IDZ
PRR
RFE
BWR
OTH
CMI
EVR
HIG
SMN
RFX
SPZ
NSE
OSL
TLG
HUB
ONC
WAA
SWJ
MRP
BND
SEN
TAW
MEP
ZGL
SBB
CIW
WAT
RGS
AVQ
PSZ
EGN
GUF
KNL
CHN
IBG
CAQ
AEF
AQR
AQU
EQX
RQL
MNC
UNV
CSE
MPO
STS
RND
SMP
COO
FSI
HRR
CPL
BLG
ELX
CZR
DIG
HAO
ACS
FFI
IVX
ARU
LSX
RXL
KNH
RDH
AKK
NAM
MGL
MIH
ATR
RUM
SSL
PCP
COZ
SRI
BAU
TCQ
MVT
SNC
KRS
ENR
EVM
AVH
SVM
CQC
AFR
WAF
KAS
RLE
HDX
TMM
DVL
CXM
PVA
EXG
TOU
PGI
BTR
TPT
KAT
IIL
SVY
EME
DCN
UBI
EEG
GWR
PPP
ABX
SUR
MYE
LAM
SGO
HNG
NMI
AIK
KRL
DYL
RDM
BRC
LKO
AYA
JAL
PLV
AJQ
VMS
CFU
PSA
MEO
CGO
CHZ
AOD
IDC
SVA
ALT
ENT
CZI
ACP
BPF
KBC
BMB
CTO
BAB
DCC
TAM
VMG
STB
MNZ
ABW
SXA
BIT
FZR
DSX
SMR
ECV
CNQ
SMC
WCC
PRO
GBI
PCL
BBL
FEO
ATP
XRF
ASW
IDO
MUX
AEB
AKM
BMN
BSA
ACK
RMS
PMR
OTC
SMA
SWE
CEL
HAS
BUG
CNX
PPX
DML
RNS
QFX
NRT
SUM
AXI
CMP
DGH
KPC
MOY
APG
EMR
CGS
MYG
HPR
AZS
CND
PBP
PEK
TLM
MAK
PMY
SZG
EAS
EOS
RIM
BLK
MZI
MED
PGC
CHR
GBE
MEL
PNR
SER
GDY
IDT
GCY
CDY
NHH
FSE
CGN
FTZ
GTG
WHN
IPT
SEG
AEK
KDL
CGR
PXS
ADA
PGM
PFG
QTM
KIS
PAB
IMA
ELK
MDG
ISH
NVI
TEX
UCM
XAM
OXX
VIE
APY
TCN
BSR
ANP
SHD
RDR
DDT
BUX
ATV
GLL
ANB
WMN
DGX
AGD
GLB
CDG
MDX
GLE
ROY
AIQ
LCT
KBL
HAV
ACB
CTE
RVR
OGH
MHI
AJJ
GPR
ERM
MRQ
ANQ
SNY
MTA
RNO
IAB
AJX
CYP
NXS
WIN
TTI
DVA
SIH
GML
GLH
BOE
MSR
LML
PDY
ETE
JKA
TDO
MBO
IPB
PNW
SFZ
BBR
MLA
CTM
CYL
ITD
EMB
RHT
BIS
QMN
ACG
LEG
EER
GMY
OFW
IVR
AZM
RTA
DGR
TRO
VIA
IMC
ADY
SUH
RMP
KFG
AXE
TCO
LIO
GBP
CSD
RCO
JYC
WTR
MZM
JCS
SRZ
NBL
LTR
RTD
MGP
TSN
VII
EBG
LFC
GCN
SHR
IMU
LSA
MLI
WSR
BLR
VXR
HHY
AVX
IXR
VTM
KDR
GGX
KRC
LMW
ICG
COM
AUQ
GME
TPP
HSK
ASP
AOW
KME
FCR
SMD
WCP
PAA
AUP
HGL
KGD
GER
LBT
ZNC
CWH
MSV
ARH
GMR
MAU
MAS
NAG
BWF
OGX
CLQ
SHP
MMC
BML
CUL
BEZ
MLM
AEI
WPG
CXX
QRX
RCM
BUY
PIO
EDE
TSV
CYC
GRM
PYC
REF
AUC
PEX
FXR
AON
KKO
ORN
CTR
NOD
PGL
LRS
NSP
BEL
EAR
EPA
AUK
UML
DME
IVO
ARE
CMC
GBZ
NWE
NGE
PIE
RMT
DLE
HAR
CYU
KFE
RDS
FFF
AVI
SKS
IEC
TCM
DRA
AYC
GFL
AOC
CAZ
SHH
EGH
ADN
RER
NSX
AYG
KKT
SGQ
VMC
MWR
OTI
AGE
ELT
AHR
TPR
GES
OGY
FTE
VML
RVY
PTB
PVE
CLT
SBR
ICS
AKA
PGS
LBL
YRR
MGV
BPO
BGS
FFG
CIR
HLX
MBC
PLS
NEN
NGY
ANO
TAG
RMR
IRC
NCR
CNL
MRV
MUE
KEY
LHB
SOR
MIZ
ESK
ALA
SXG
LCY
XTE
GRK
MPJ
MRF
AMB
MGY
IFE
GSZ
HMX
CBX
HCT
EXE
SCD
ABV
ARW
INT
KOR
ICZ
QBL
MTE
BYR
TGN
AGR
RHS
MNM
TPC
BCT
LMR
IOG
JRL
BUR
OLH
AKF
FEL
AZQ
SRK
TMK
PYM
ZIP
MNE
AWV
IEQ
CAP
SPX
WCN
AGJ
AIV
GCR
OPG
AEE
NAE
GGE
VRX
WRR
PRA
CNN
VGO
MGS
OEC
TRF
AIB
CAY
SRQ
BFE
TAS
GTE
AAK
PHK
DSB
RAF
PSF
MAR
ESR
MHC
ARM
TTA
MOQ
YHL
OBL
CLZ
VAR
KPR
ORR
MMR
BKP
CVV
EMX
RUB
SGU
AFV
ESI
CIK
AFT
VHL
PIM
EOL
SCI
RGP
IAW
CVG
GSC
CMT
EVZ
SXI
DTM
LBY
RMX
PEH
ORS
QTG
PWN
OIL
AHN
HOR
WOF
DAF
TLU
AJY
ADX
SFP
WVL
EZA
RIS
BCN
WEG
CHF
ICP
CXO
TTE
RGX
MOD
FRM
BSN
HNR
SIX
EFE
DLC
AVK
FAS
CWG
SOC
DRX
ICX
ICT
CDB
BOA
NSL
GIP
KGM
RYG
PSC
AYB
PKO
RMI
ITT
AJC
CJT
VMX
MGU
BZL
AUZ
AEM
HEG
RDG
RNU
MOO
AAJ
TYK
DRK
AHA
NTL
KRB
KPT
AZK
SAY
NML
PKR
RTR
CRB
CAD
WGO
LCE
OEG
GMD
EYM
MPE
PFM
HOG
BAR
PLD
OEQ
WKT
OTE
AQC
SAT
PGO
EXC
CRM
XST
ANW
GRV
MBK
RCP
BCD
LMG
AMO
CCJ
LER
BMZ
IRL
CSP
POK
FNT
VKA
CDT
DMG
BPG
MKO
AQI
BPL
ERJ
BMG
IKW
MOX
BNE
NXM
VIG
COY
ARD
LLO
OKU
MEU
SMI
BOP
GPS
EMH
IVT
LTX
CBS
OZB
BRB
QUE
SPI
FOT
RAD
BLZ
BXN
ZRL
DVI
AYR
HAW
POP
ORH
EPM
TKL
SRH
ALY
MTI
RRP
KTE
AIY
PLP
KIN
SYP
MSP
LSR
SXX
RAW
AYM
FRC
AIR
TNP
UUL
AAU
ARX
MUI
FGI
ACW
SPS
SRR
ZMG
RMG
EGL
DMA
SOI
CGU
AZY
MUT
EUM
MDI
GUN
ARO
PDI
UEQ
SAU
NXR
WLR
PZC
MOT
JRV
SVS
MEI
NLS
ZGM
AQD
LCR
MHM
ERI
PNX
GMC
GBM
OVR
COD
MLS
RFT
LIN
CCF
HHM
MUM
CZN
ENB
MOZ
IZM
WWI
FYI
CKK
GUL
QSS
EGY
VTX
AIX
CUG
NRR
RRE
EXR
DDD
QPN
SHE
TNR
INL
LRL
AHK
ORO
PUN
EMG
MTN
GDA
ZAM
SGZ
BDI
WHE
AVZ
EQE
BNV
IRG
CMY
MDD
BMY
RCU
HRL
SBL
USA
CDV
LNY
ENU
TRM
TEG
RAU
MWS
TPD
WRM
SBI
ESN
CGM
SBN
MRR
AMT
AQQ
ACJ
KTA
QNA
MXR
BAS
EVE
MEY
VIC
PLH
KKL
MOU
MCH
ADQ
BKM
CYS
SBU
RSL
BUE
ORD
CUX
CLY
PNN
AOP
CXB
GLA
NTM
DSN
PHW
FLR
POZ
KRA
PML
FRE
BGH
AWD
CAV
COT
PEC
QST
IPC
PTR
CRQ
HIT
THR
RLC
OVL
QRL
EAF
ARV
VEC
SHK
WNS
ESM
CTT
GSE
LRR
HDG
AVD
BNR
ZEU
IRM
GMX
FCN
IGS
CLA
DIS
PMQ
PNO
CUU
TAU
RBX
NRU
MGB
PPY
JAT
BTC
DMI
ERD
GGH
MTH
AGY
APP
OKJ
AXT
NIU
SVL
FOY
MGZ
FWL
SWW
GLF
NYO
ZTA
SXS
RIE
CRL
CCZ
CBQ
BRO
AXC
THO
AGX
ROG
ORM
WAL
KIK
QUR
GBX
GMM
SPQ
MNB
BPH
VOR
SLT
NIO
DAU
AOU
LGO
SOO
ATM
AWO
BBX
TMZ
NME
AAP
GTR
OGL
EMU
LGM
BSM
GPP
WFE
SNV
MBD
EXU
RCF
KAB
CDH
FIE
GBA
TWH
KNE
SYA
PEL
FRY
LSN
SOP
NWR
CPD
ORX
AOA
CHK
SWR
DRG
TAR
MSI
DTR
TMX
MTB
SIE
DUO
AAR
TDX
GPH
WAC
GLN
AYI
IMI
NHO
KSN
PXR
GED
DGO
DEG
RBR
MYN
WPI
CVS
MEH
PRW
AHQ
DMY
CES
WRG
PDM
NVG
EXM
RGU
BSP
CNJ
AVY
BRD
SXT
HLS
COJ
AJR
ERL
MRY
PHA
NCO
TND
ADD
ODN
TWT
SYS
OGI
SFN
JVG
CYY
BTN
QXQ
KSO
AAL
PSP
MFC
SAV
PNE
ENL
MCX
LKE
CYO
PWW
CGI
OUM
MBT
TKG
REZ
MIG
